NAME	CODE	PARENT_CODE
acuteLymphoblasticLeukemia	Acute Lymphoblastic Leukemia (ALL)	leukemia
acuteMyeloidLeukemia	Acute Myeloid Leukemia (AML)	leukemia
adrenocorticalCarcinoma	Adrenocortical Carcinoma	
AIDSRelatedLymphoma	AIDS-Related Lymphoma	lymphoma
analCancer	Anal Cancer	
anaplasticLargeCellLymphoma	Anaplastic Large Cell Lymphoma	lymphoma
appendixCancer	Appendix Cancer	
astrocytomas	Astrocytomas, Childhood	brainTumors
atypicalTeratoid	Atypical Teratoid/Rhabdoid Tumor, Childhood, Central Nervous System	brainTumors
basalCellCarcinoma	Basal Cell Carcinoma of the Skin	skinCancer
bileDuctCancer	Bile Duct Cancer	liverCancer
bladderCancer	Bladder Cancer	
boneCancer	Bone Cancer	
brainTumors	Brain Tumors	
breastCancer	Breast Cancer	
bronchialTumors	Bronchial Tumors, Childhood	
burkittLymphoma	Burkitt Lymphoma	nonHodgkinLymphoma
carcinoidTumor	Carcinoid Tumor	
carcinomaUnknownPrimary	Carcinoma of Unknown Primary	
cardiacTumorsChildhood	Cardiac (Heart) Tumors, Childhood	
castlemanDisease	Castleman Disease	lymphoma
cervicalCancer	Cervical Cancer	
childhoodAdrenocorticalCarcinoma	Childhood Adrenocortical Carcinoma	adrenocorticalCarcinoma
childhoodBladderCancer	Childhood Bladder Cancer	bladderCancer
childhoodBreastCancer	Childhood Breast Cancer	breastCancer
childhoodCarcinoidTumors	Childhood Carcinoid Tumors	carcinoidTumor
childhoodCarcinomaUnknownPrimary	Childhood Carcinoma of Unknown Primary	carcinomaUnknownPrimary
childhoodCentralNervousSystemGermCellTumors	Childhood Central Nervous System Germ Cell Tumors	germCellTumors
childhoodCervicalCancer	Childhood Cervical Cancer	cervicalCancer
childhoodColorectalCancer	Childhood Colorectal Cancer	colorectalCancer
childhoodEsophagealCancer	Childhood Esophageal Cancer	esophagealCancer
childhoodExtracranialGermCellTumors	Childhood Extracranial Germ Cell Tumors	germCellTumors
childhoodGastricCancer	Childhood Gastric (Stomach) Cancer	gastricCancer
childhoodGastrointestinalStromalTumors	Childhood Gastrointestinal Stromal Tumors	gastrointestinalStromalTumors
childhoodIntraocularMelanoma	Childhood Intraocular Melanoma	eyeCancer
childhoodKidneyTumors	Childhood Kidney Tumors	kidneyCancer
childhoodLungCancer	Childhood Lung Cancer	lungCancer
childhoodMelanoma	Childhood Melanoma	skinCancer
childhoodMesothelioma	Childhood Mesothelioma	mesothelioma
childhoodOvarianCancer	Childhood Ovarian Cancer	ovarianCancer
childhoodPancreaticCancer	Childhood Pancreatic Cancer	pancreaticCancer
childhoodParaganglioma	Childhood Paraganglioma	paraganglioma
childhoodPheochromocytoma	Childhood Pheochromocytoma	pheochromocytoma
childhoodSkinCancer	Childhood Skin Cancer	skinCancer
childhoodStomachCancer	Childhood Stomach (Gastric) Cancer	gastricCancer
childhoodTesticularCancer	Childhood Testicular Cancer	testicularCancer
childhoodVaginalCancer	Childhood Vaginal Cancer	vaginalCancer
childhoodVascularTumors	Childhood Vascular Tumors (Soft Tissue Sarcoma)	softTissueSarcoma
childhoodChordoma	Chordoma, Childhood	
choriocarcinoma	Choriocarcinoma	uterineCancer
chronicLymphocyticLeukemia	Chronic Lymphocytic Leukemia (CLL)	leukemia
chronicMyelogenousLeukemia	Chronic Myelogenous Leukemia (CML)	leukemia
chronicMyeloproliferativeNeoplasms	Chronic Myeloproliferative Neoplasms	
colonCancer	Colon Cancer	colorectalCancer
colorectalCancer	Colorectal Cancer	
craniopharyngiomaChildhood	Craniopharyngioma, Childhood	brainTumors
cutaneousTCellLymphoma	Cutaneous T-Cell Lymphoma	lymphoma
ductalCarcinomaInSitu	Ductal Carcinoma In Situ (DCIS)	breastCancer
embryonalTumorsChildhood	Embryonal Tumors, Central Nervous System, Childhood	brainTumors
embryonalTumorsChildhood	Embryonal Tumors, Childhood	brainTumors
endometrialCancer	Endometrial Cancer	uterineCancer
ependymomaChildhood	Ependymoma, Childhood	brainTumors
esophagealCancer	Esophageal Cancer	
esthesioneuroblastoma	Esthesioneuroblastoma	headAndNeckCancer
ewingSarcoma	Ewing Sarcoma	boneCancer
extracranialGermCellTumorChildhood	Extracranial Germ Cell Tumor, Childhood	
extragonadalGermCellTumor	Extragonadal Germ Cell Tumor	
extragonadalGermCellTumors	Extragonadal Germ Cell Tumors	germCellTumors
eyeCancer	Eye Cancer	
fallopianTubeCancer	Fallopian Tube Cancer	
fibrousHistiocytoma	Fibrous Histiocytoma of Bone, Malignant	boneCancer
gallbladderCancer	Gallbladder Cancer	
gastricCancer	Gastric (Stomach) Cancer	
gastroenteropancreaticNeuroendocrineTumors	Gastroenteropancreatic Neuroendocrine Tumors	pancreaticCancer
gastroesophagealJunctionAdenocarcinoma	Gastroesophageal Junction Adenocarcinoma	esophagealCancer
gastrointestinalCarcinoidTumor	Gastrointestinal Carcinoid Tumor	
gastrointestinalStromalTumors	Gastrointestinal Stromal Tumors (GIST) (Soft Tissue Sarcoma)	softTissueSarcoma
germCellTumorChildhood	Germ Cell Tumor, Childhood	brainTumors
germCellTumors	Germ Cell Tumors	
gestationalTrophoblasticDisease	Gestational Trophoblastic Disease	
hairyCellLeukemia	Hairy Cell Leukemia	leukemia
headAndNeckCancer	Head and Neck Cancer	
heartTumorsChildhood	Heart Tumors, Childhood	cardiacTumorsChildhood
hepatocellularCancer	Hepatocellular (Liver) Cancer	liverCancer
histiocytosisLangerhansCell	Histiocytosis, Langerhans Cell	
hodgkinLymphoma	Hodgkin Lymphoma	lymphoma
hypopharyngealCancer	Hypopharyngeal Cancer	headAndNeckCancer
intraocularMelanoma	Intraocular Melanoma	eyeCancer
kaposiSarcoma	Kaposi Sarcoma (Soft Tissue Sarcoma)	softTissueSarcoma
kidneyCancer	Kidney Cancer	
langerhansCellHistiocytosis	Langerhans Cell Histiocytosis	
laryngealCancer	Laryngeal Cancer	headAndNeckCancer
leukemia	Leukemia	
lipAndOralCavityCancer	Lip and Oral Cavity Cancer	headAndNeckCancer
liverCancer	Liver Cancer	
lungCancer	Lung Cancer	
lymphoma	Lymphoma	
lymphoplasmacyticLymphoma	Lymphoplasmacytic Lymphoma	waldenstromMacroglobulinemia
maleBreastCancer	Male Breast Cancer	breastCancer
malignantFibrousHistiocytoma	Malignant Fibrous Histiocytoma	boneCancer
mastCellLeukemia	Mast Cell Leukemia	leukemia
medullaryThyroidCancer	Medullary Thyroid Cancer	thyroidCancer
melanoma	Melanoma	skinCancer
meningealLeukemia	Meningeal Leukemia	leukemia
merkelCellCarcinoma	Merkel Cell Carcinoma	skinCancer
mesothelioma	Mesothelioma, Malignant	
metastaticCancer	Metastatic Cancer	
midlineTractCarcinoma	Midline Tract Carcinoma With NUT Gene Changes	
mouthCancer	Mouth Cancer	headAndNeckCancer
mucosalMelanoma	Mucosal Melanoma	melanoma
multipleEndocrineNeoplasiaSyndromes	Multiple Endocrine Neoplasia Syndromes	
multipleMyeloma	Multiple Myeloma	
mycosisFungoides	Mycosis Fungoides (Lymphoma)	lymphoma
myelodysplasticNeoplasms	Myelodysplastic Neoplasms	myeloproliferativeNeoplasms
myelodysplasticSyndromes	Myelodysplastic Syndromes	myeloproliferativeNeoplasms
myeloproliferativeNeoplasms	Myeloproliferative Neoplasms	
nasalCavityCancer	Nasal Cavity Cancer	headAndNeckCancer
nasopharyngealCancer	Nasopharyngeal Cancer	headAndNeckCancer
