CODE	NAME
painAbdominal	Abdominal pain
painBack	Back pain
bloating	Bloating
salivaBlood	Blood-tinged saliva
stoolBlood	Blood in stool
urineBlood	Blood in urine
breastDischarge	Breast discharge
breastLump	Breast lump
burning	Burning sensation
bowelHabitChange	Change in bowel habits
breastShapeChange	Change in size or shape of breast
nippleShapeChange	Change in size or shape of nipple
breastSkinChange	Change in texture of breast skin
urinationChange	Change in urination
appetiteChange	Changes in appetite
painChest	Chest pain
chills	Chills
constipation	Constipation
analItching	Continued itching in anal area
genitalItching	Continued itching in genital area
hyperpigmentation	Darker looking skin (hyperpigmentation)
diarrhea	Diarrhea
difficultySwallowing	Difficulty swallowing
skinDiscolored	Discolored skin patches
dizziness	Dizziness
skinExcessiveHair	Excessive hair growth
yawning	Excessive Yawning
fatigue	Fatigue
weak	Feeling weak
edema	Fluid accumulation (edema)
painFoot	Foot pain
urinationFrequent	Frequent urination
gas	Gas
hairLoss	Hair loss
headache	Headaches
heartburn	Heartburn
hiccups	Hiccups
painHip	Hip pain
hoarseness	Hoarseness
bloodPressureIncrease	Increase in blood pressure
indigestion	Indigestion
insomnia	Insomnia
itching	Itching
painJoint	Joint pain
painKnee	Knee pain
appetiteLoss	Loss of appetite
lowBloodPressure	Low blood pressure
testiclesLumps	Lumps in testicles
painMuscle	Muscle pain
nausea	Nausea
painNeck	Neck pain
moleNew	New mole
nonhealingSores	Nonhealing sores
nosebleed	Nosebleed
moleChange	Obvious change in a wart or mole
urinationPainful	Painful urination
painPelvic	Pelvic pain
persistentCough	Persistent cough
lumpsPersistent	Persistent lumps
personalityChange	Personality change
rash	Rash
erythema	Reddened skin (erythema)
tinnitus	Ringing in the ears (tinnitus)
shortnessOfBreath	Shortness of breath
painShoulder	Shoulder pain
sneezing	Sneezing
soreThroat	Sore throat
stuffyNose	Stuffy nose
glandsSwollen	Swollen glands
tingling	Tingling
feverUnexpected	Unexpected fever
nightSweatsUnexpected	Unexpected night sweats
weightGainUnexpected	Unexpected weight gain
weightLossUnexpected	Unexpected weight loss
anemia	Unexplained anemia
vaginalBleeding	Unusual vaginal bleeding
vaginalDischarge	Unusual vaginal discharge
vertigo	Vertigo
vomiting	Vomiting
mouthWhitePatches	White patches inside the mouth
tongueWhiteSpots	White spots on the tongue
jaundice	Yellowish skin and eyes (jaundice)
