OBJECT	CODE	NAME	LABEL	PARENT_CODE
condition	type_condition_autoimmune	Autoimmune	Autoimmune	
condition	type_condition_allergies	Allergies & Asthma	Allergies & Asthma	
condition	type_condition_bacterial	Bacterial Infections	Bacterial Infections	
condition	type_condition_cancer	Cancer	Cancer	
condition	type_condition_cancerAdolescent	Adolescent Cancers	Adolescent Cancers	type_condition_cancer
condition	type_condition_cancerAIDSRelated	AIDS-Related Cancers	AIDS-Related Cancers	type_condition_cancer
condition	type_condition_cancerChildhood	Childhood Cancers	Childhood Cancers	type_condition_cancer
condition	type_condition_cardiovascular	Cardiovascular	Cardiovascular	
condition	type_condition_congenital	Congenital	Congenital	
condition	type_condition_digestive	Digestive	Digestive	
condition	type_condition_endocrine	Endocrine System	Endocrine System	
condition	type_condition_environmental	Environmental Origin	Environmental Origin	
condition	type_condition_eye	Eye	Eye	
condition	type_condition_urogenitalFemale	Female Urogenital	Female Urogenital	
condition	type_condition_heartDisease	Heart Disease	Heart Disease	
condition	type_condition_hematologic	Hematologic	Hematologic	
condition	type_condition_hereditary	Hereditary	Hereditary	
condition	type_condition_immuneSystem	Immune System	Immune System	
condition	type_condition_lymphatic	Lymphatic	Lymphatic	
condition	type_condition_infectious	Infectious	Infectious	
condition	type_condition_urogenitalMale	Male Urogenital	Male Urogenital	
condition	type_condition_metabolic	Metabolic	Metabolic	
condition	type_condition_musculoskeletal	Musculoskeletal	Musculoskeletal	
condition	type_condition_mycoses	Mycoses	Mycoses	
condition	type_condition_neonatal	Neonatal	Neonatal	
condition	type_condition_neoplasms	Neoplasms	Neoplasms	
condition	type_condition_nervousSystem	Nervous System	Nervous System	
condition	type_condition_nutritionDisorders	Nutrition Disorders	Nutrition Disorders	
condition	type_condition_otorhinolaryngologic	Otorhinolaryngologic	Otorhinolaryngologic	
condition	type_condition_parasitic	Parasitic	Parasitic	
condition	type_condition_respiratoryTract	Respiratory Tract	Respiratory Tract	
condition	type_condition_skin	Skin	Skin	
condition	type_condition_stomatognathic	Stomatognathic	Stomatognathic	
condition	type_condition_virus	Virus	Virus	
drug	allergenics	Allergenics	Allergenics	
drug	alternativeMedicines	Alternative Medicines	Alternative Medicines	
drug	herbalProducts	Herbal Products	Alternative Medicines / Herbal Products	alternativeMedicines
drug	nutraceuticalProducts	Nutraceutical Products	Alternative Medicines / Nutraceutical Products	alternativeMedicines
drug	probiotics	Probiotics	Alternative Medicines / Probiotics	alternativeMedicines
drug	antiInfectives	Anti-Infectives	Anti-Infectives	
drug	amebicides	Amebicides	Anti-Infectives / Amebicides	antiInfectives
drug	aminoglycosides	Aminoglycosides	Anti-Infectives / Aminoglycosides	antiInfectives
drug	anthelmintics	Anthelmintics	Anti-Infectives / Anthelmintics	antiInfectives
drug	antifungals	Antifungals	Anti-Infectives / Antifungals	antiInfectives
drug	azoleAntifungals	Azole Antifungals	Anti-Infectives / Antifungals / Azole Antifungals	antifungals
drug	echinocandins	Echinocandins	Anti-Infectives / Antifungals / Echinocandins	antifungals
drug	miscellaneousAntifungals	Miscellaneous Antifungals	Anti-Infectives / Antifungals / Miscellaneous Antifungals	antifungals
