CODE	NAME	PARENT_CODE
3DConformalRadiation	3D Conformal Radiation	
ablation	Ablation	
abscessDrainage	Abscess Drainage and Fluid Collection Management	
acceleratedFractionation	Accelerated Fractionation	externalBeamRadiationTherapy
accuboost	Accuboost	
acupressure	Acupressure	manualTherapy
acupuncture	Acupuncture	
adoptiveCellTransfer	Adoptive Cell Transfer	
advancedGenomicTesting	Advanced Genomic Testing	
allogeneicStemCellTransplant	Allogeneic Stem Cell Transplant	
amifostine	Amifostine	
amputation	Amputation	
angiography	Angiography	
petTherapy	Animal-Assisted Therapy - Pet Therapy	
appendixSurgery	Appendix Surgery	
argonPlasmaCoagulation	Argon Plasma Coagulation (APC)	
aromatherapy	Aromatherapy	manualTherapy
auriculotherapy	Auriculotherapy	
autofluorescenceBronchoscopy	Autofluorescence Bronchoscopy	
autologousFatGrafting	Autologous Fat Grafting	
autologousStemCellTransplant	Autologous Stem Cell Transplant	
bacillusCalmetteGuerin	Bacillus Calmette-Guérin (BCG)	
bilateralSalpingoOophorectomy	Bilateral Salpingo-Oophorectomy	
bowelResection	Bowel Resection	
brachytherapy	Brachytherapy	internalRadiationTherapy
bronchoscopy	Bronchoscopy	
calypso4DLocalizationSystem	Calypso 4D Localization System	
celiacPlexusNeurolysis	Celiac Plexus Neurolysis (CPN)/Celiac Plexus Block	
checkpointInhibitors	Checkpoint Inhibitors	
chemoembolization	Chemoembolization	
chiropractic	Chiropractic Care	manualTherapy
civasheet	Civasheet	
conturaMultiLumenBalloon	Contura Multi-Lumen Balloon	
cryoablation	Cryoablation	
cryosurgery	Cryosurgery	
cyberKnife	CyberKnife	
cytokines	Cytokines	
dietarySupplements	Dietary supplements	
discogrpahy	Discogrpahy	
effleurageMassage	Effleurage Massage	manualTherapy
embolization	Embolization	
endobronchial Brachytherapy	Endobronchial Brachytherapy	
enteralNutrition	Enteral Nutrition	
episcleralBrachytherapy	Episcleral Brachytherapy	brachytherapy
erbeJet2	ErbeJet 2	
esophagogastroduodenoscopy	Esophagogastroduodenoscopy (EGD)	
exerciseTherapy	Exercise Therapy	
externalBeamRadiationTherapy	External Beam Radiation Therapy	
flexRoboticSystem	Flexible Robotic Surgery (Flex Robotic System)	
fluorescenceBronchoscopy	Fluorescence Bronchoscopy	
friction	Friction	manualTherapy
geneticCounseling	Genetic Counseling	
geneticTesting	Genetic Testing	
hemorrhoidTreatment	Hemorrhoid Treatment	
herbalAndBotanical	Herbal and Botanical Preparations	
highDoseRateBrachytherapy	High-Dose Rate Brachytherapy	
hipReplacement	Hip Replacement	
HIPECIMRT	HIPEC Intensity-Modulated Radiation Therapy (IMRT)	
homeopathicRemedies	Homeopathic Remedies	
androgen_deprivation_therapy	Hormone Therapy	
hydrotherapy	Hydrotherapy	
hyperfractionation	Hyperfractionation	externalBeamRadiationTherapy
hyperthermia	Hyperthermia	
HIPEC	Hyperthermic Intraperitoneal Chemotherapy	
hypofractionation	Hypofractionation	externalBeamRadiationTherapy
hysterectomy	Hysterectomy	
imageGuidedRadiationTherapy	Image-Guided Radiation Therapy (IGRT)	
imageEnhancement	Image Enhancement	
indwellingPleuralCatheter	Indwelling Pleural Catheter	
inferiorVenaCavaFilterPlacement	Inferior Vena Cava (IVC) Filter Placement	
intensityModulatedRadiationTherapy	Intensity-Modulated Radiation Therapy (IMRT)	
internalRadiationTherapy	Internal Radiation Therapy	
interstitalBrachytherapy	Interstital Brachytherapy	brachytherapy
intraArterialChemotherapy	Intra-Arterial Chemotherapy	
intracavityBrachytherapy	Intracavity Brachytherapy	brachytherapy
intraoperativeRadiationTherapy	Intraoperative Radiation Therapy (IORT)	
intraperitonealChemotherapy	Intraperitoneal Chemotherapy	
intrathecalChemotherapy	Intrathecal Chemotherapy	
intratumoralChemotherapy	Intratumoral Chemotherapy	
kyphoplasty	Kyphoplasty	
kyphoplastyVertebroplasty	Kyphoplasty/Vertebroplasty	
laparoscopicRadicalNephrectomy	Laparoscopic Radical Nephrectomy	
laparoscopicSurgery	Laparoscopic Surgery	
laparoscopieSalpingoOophorectomy	Laparoscopie Salpingo-Oophorectomy	
largeBoreCTRTSimulation	Large Bore CT Scanner / RT With Simulation	
laserSurgery	Lasers	
laughterTherapy	Laughter Therapy	
lifestyleCounseling	Lifestyle Counseling	
limbSalvageSurgery	Limb Salvage Surgery	
localHyperthermia	Local Hyperthermia	hyperthermia
localHyperthermiaEndocavitary	Local Hyperthermia: Endocavitary	localHyperthermia
localHyperthermiaExternal	Local Hyperthermia: External	localHyperthermia
localHyperthermiaInterstitial	Local Hyperthermia: Interstitial	localHyperthermia
localHyperthermiaExternal	Local Hyperthermia: Intraluminal	localHyperthermia
lowDoseRateBrachytherapy	Low-Dose Rate Brachytherapy	
lymphadenectomy	Lymphadenectomy	
